id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_2023,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,last_review_date,price_2023_quant
5178,Large Furnished Room Near B'way　,8967,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,68,2,575,2023-02-19,3.41,1,106,52,,2023-02-19,0.15959744981295115
29628,"Comfortable, Sunny Room",127608,Chris,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,93,3,350,2023-02-27,2.25,1,145,48,,2023-02-27,0.30380947362874755
5586,Rooftop Deck/City Views. Great Apt,8526,Susan,Manhattan,Upper East Side,40.76076,-73.96156,Entire home/apt,295,4,45,2022-10-03,0.27,1,1,4,,2022-10-03,0.8901944254175668
5803,"Lovely, Cozy, Room 1, BEST AREA; Legal Rental",9744,Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,124,3,223,2023-02-13,1.32,3,164,17,,2023-02-13,0.46804362716686865
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,81,30,189,2023-02-04,1.13,1,207,5,,2023-02-04,0.23605037146319616
67288,Central Park 1BR sunny condo,101597,Per,Manhattan,East Harlem,40.79544,-73.94836,Entire home/apt,250,28,47,2022-12-14,0.37,1,81,9,,2022-12-14,0.8493598187470361
6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,243,2023-01-01,1.49,1,249,7,,2023-01-01,0.13030191264028662
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,100,2,532,2023-01-31,3.45,2,289,31,,2023-01-31,0.35955529796090413
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,139,30,93,2022-11-02,0.61,1,364,1,,2022-11-02,0.538121081195005
7064,"Amazing location! Wburg. Large, bright & tranquil",17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,95,7,13,2022-09-12,0.09,2,0,4,,2022-09-12,0.31777227461931606
